timestamp,add-pre-chain,checkpoint,tile
1786564080,100.0000,100.0000,100.0000
1786568280,100.0000,100.0000,100.0000
1786571880,100.0000,100.0000,100.0000
1786582080,100.0000,100.0000,100.0000
1786592280,100.0000,100.0000,100.0000
1786598880,100.0000,100.0000,100.0000
1786606080,100.0000,100.0000,100.0000
1786609680,100.0000,100.0000,100.0000
1786613280,100.0000,100.0000,100.0000
1786624080,100.0000,100.0000,100.0000
1786631280,100.0000,100.0000,100.0000
1786634880,100.0000,100.0000,100.0000
1786638480,100.0000,100.0000,100.0000
1786642080,100.0000,100.0000,100.0000
1786645680,100.0000,100.0000,100.0000
1786649880,100.0000,100.0000,100.0000
1786658280,100.0000,100.0000,100.0000
1786671480,100.0000,100.0000,100.0000
1786678080,100.0000,100.0000,100.0000
1786686480,100.0000,100.0000,100.0000
1786693080,100.0000,100.0000,100.0000
1786700280,100.0000,100.0000,100.0000
1786706880,100.0000,100.0000,100.0000
1786709880,100.0000,100.0000,100.0000
1786717080,100.0000,100.0000,100.0000
1786720080,100.0000,100.0000,100.0000
1786723680,100.0000,100.0000,100.0000
1786727280,100.0000,100.0000,100.0000
1786731480,100.0000,100.0000,100.0000
1786734480,100.0000,100.0000,100.0000
1786740480,100.0000,100.0000,100.0000
1786744080,100.0000,100.0000,100.0000
1786754880,100.0000,100.0000,100.0000
1786762080,100.0000,100.0000,100.0000
1786765680,100.0000,100.0000,100.0000
1786768680,100.0000,100.0000,100.0000
1786771680,100.0000,100.0000,100.0000
1786781280,100.0000,100.0000,100.0000
1786783680,100.0000,100.0000,100.0000
1786786680,100.0000,100.0000,100.0000
1786789680,100.0000,100.0000,100.0000
1786796280,100.0000,100.0000,100.0000
1786802280,100.0000,100.0000,100.0000
1786805280,100.0000,100.0000,100.0000
1786808280,100.0000,100.0000,100.0000
1786817880,100.0000,100.0000,100.0000
1786823880,100.0000,100.0000,100.0000
1786826880,100.0000,100.0000,100.0000
1786829880,100.0000,100.0000,100.0000
1786832880,100.0000,100.0000,100.0000
1786841880,100.0000,100.0000,100.0000
1786846080,100.0000,100.0000,100.0000
1786849680,100.0000,100.0000,100.0000
1786856280,100.0000,100.0000,100.0000
1786859280,100.0000,100.0000,100.0000
1786862280,100.0000,100.0000,100.0000
1786865280,100.0000,100.0000,100.0000
1786868880,100.0000,100.0000,100.0000
1786872480,100.0000,100.0000,100.0000
1786876080,100.0000,100.0000,100.0000
1786882680,100.0000,100.0000,100.0000
1786886280,100.0000,100.0000,100.0000
1786890480,100.0000,100.0000,100.0000
1786893480,100.0000,100.0000,100.0000
1786897080,100.0000,100.0000,100.0000
1786903080,100.0000,100.0000,100.0000
1786906080,100.0000,100.0000,100.0000
1786909080,100.0000,100.0000,100.0000
1786912080,100.0000,100.0000,100.0000
1786915080,100.0000,100.0000,100.0000
1786928280,100.0000,100.0000,100.0000
1786934280,100.0000,100.0000,100.0000
1786937280,100.0000,100.0000,100.0000
1786940280,100.0000,100.0000,100.0000
1786947480,100.0000,100.0000,100.0000
1786950480,100.0000,100.0000,100.0000
1786953480,100.0000,100.0000,100.0000
1786956480,100.0000,100.0000,100.0000
1786959480,100.0000,100.0000,100.0000
1786962480,100.0000,100.0000,100.0000
1786965480,100.0000,100.0000,100.0000
1786974480,100.0000,100.0000,100.0000
1786984080,100.0000,100.0000,100.0000
1786985880,100.0000,100.0000,100.0000
1786993680,100.0000,100.0000,100.0000
1786998480,100.0000,100.0000,100.0000
1787002080,100.0000,100.0000,100.0000
