timestamp,add-pre-chain,checkpoint
1787599080,100.0000,100.0000
1787602680,100.0000,100.0000
1787606280,100.0000,100.0000
1787609880,100.0000,100.0000
1787619480,100.0000,100.0000
1787623080,100.0000,100.0000
1787626680,100.0000,100.0000
1787638080,100.0000,100.0000
1787645280,100.0000,100.0000
1787648880,100.0000,100.0000
1787652480,100.0000,100.0000
1787664480,100.0000,100.0000
1787674680,100.0000,100.0000
1787685480,100.0000,100.0000
1787695080,100.0000,100.0000
1787698680,100.0000,100.0000
1787705880,100.0000,100.0000
